rainfall_mm,river_level_m,soil_moisture,wind_speed_kmph,temperature_c,population_density,elevation_m,infrastructure_vulnerability,road_accessibility,distance_to_water_body,primary_disaster,secondary_disaster,severity
107.4,7.92,0.9,62.9,31.9,2102.0,250.9,0.81,0.11,11.68,Cyclone,Infrastructure Failure,High
120.5,1.4,0.95,51.8,25.9,1659.0,2275.9,0.11,0.24,2.19,Landslide Trigger,Landslide,High
3.4,1.44,0.13,8.5,36.3,4657.0,149.6,0.92,0.45,24.38,Extreme Heat,Fire,Critical
22.3,3.29,0.31,14.0,19.7,1505.0,328.8,0.66,0.11,5.87,Earthquake,Fire,Medium
119.5,9.78,0.49,25.4,28.4,2221.0,132.4,0.32,0.56,0.75,Heavy Rain,Flood,High
315.3,3.73,0.74,32.7,19.7,2241.0,503.0,0.12,0.46,2.26,Heavy Rain,Flood,High
151.1,9.9,0.43,28.8,23.5,3621.0,582.8,0.75,0.83,4.64,Heavy Rain,Flood,High
115.3,4.23,0.89,59.5,26.5,2251.0,1142.9,0.72,0.49,3.73,Landslide Trigger,Landslide,High
38.7,3.43,0.33,30.8,23.1,4700.0,755.7,0.16,0.23,9.63,Earthquake,Fire,Medium
14.3,0.85,0.22,25.3,40.9,2674.0,587.4,0.38,0.65,7.29,Extreme Heat,Fire,High
96.6,7.64,0.51,22.5,20.6,1177.0,154.4,0.88,0.92,6.62,Heavy Rain,Flood,High
177.1,1.86,0.67,50.9,19.1,6068.0,574.0,0.77,0.21,8.79,Landslide Trigger,Landslide,High
10.1,0.94,0.12,35.6,37.5,6645.0,251.7,0.76,0.61,2.02,Extreme Heat,Fire,Critical
297.6,3.87,0.67,25.8,19.1,231.0,394.0,0.31,0.24,7.37,Heavy Rain,Flood,High
128.6,10.68,0.67,31.0,27.1,1899.0,132.0,0.59,0.95,3.95,Heavy Rain,Flood,High
303.9,6.08,0.88,17.7,18.4,2387.0,171.5,0.6,0.87,2.79,Heavy Rain,Flood,High
167.7,5.51,0.33,63.3,28.1,661.0,178.1,0.07,0.45,10.09,Cyclone,Fire,Medium
94.1,1.9,0.73,70.6,28.7,1628.0,116.0,0.77,0.4,2.16,Cyclone,Infrastructure Failure,High
232.7,2.5,0.76,82.5,29.5,1668.0,228.5,0.11,0.07,11.16,Cyclone,Landslide,Medium
322.9,7.22,0.85,20.5,22.1,3627.0,33.8,0.89,0.29,7.7,Heavy Rain,Flood,Critical
48.9,2.87,0.31,30.4,33.9,1140.0,1952.4,0.3,0.92,15.04,Earthquake,Fire,Medium
53.4,8.94,0.81,38.0,29.9,363.0,256.4,0.45,0.28,2.79,Heavy Rain,Flood,High
163.3,10.01,0.94,18.4,22.5,410.0,743.6,0.2,0.59,0.59,Heavy Rain,Flood,High
70.6,9.24,0.57,107.6,24.7,4551.0,191.0,0.73,0.57,7.98,Cyclone,Infrastructure Failure,High
274.2,8.04,0.75,65.3,22.1,1795.0,88.9,0.41,0.85,8.0,Cyclone,Flood,Medium
13.4,2.32,0.14,29.2,37.8,1440.0,187.7,0.44,0.8,6.25,Extreme Heat,Fire,High
89.6,9.11,0.71,23.0,23.9,1920.0,247.0,0.2,0.15,4.81,Heavy Rain,Flood,High
177.6,8.72,0.51,129.6,29.2,2776.0,373.0,0.64,0.86,9.87,Cyclone,Infrastructure Failure,High
32.0,1.64,0.16,29.8,31.0,2095.0,274.6,0.16,0.93,11.96,Earthquake,Fire,Medium
120.8,3.11,0.75,43.2,18.4,449.0,530.4,0.21,0.56,4.31,Heavy Rain,Flood,Medium
23.7,3.78,0.56,34.5,20.2,1466.0,2134.9,0.1,0.1,9.19,Earthquake,Landslide,Medium
278.4,6.62,0.53,37.6,21.0,5651.0,466.3,0.79,0.48,2.94,Heavy Rain,Flood,High
