district,total_households,urban_pct,literacy_rate,pukka_housing_pct,slum_pop_pct,vulnerability_score,composite_vulnerability_index,source
Ariyalur,195400,11.2,71.34,66.5,9.2,0.58,22.81,Census_India
Chengalpattu,642000,68.5,84.6,84.1,18.5,0.44,16.84,Census_India
Chennai,1154982,100.0,90.18,92.4,28.5,0.65,16.4,Census_India
Coimbatore,958045,75.7,83.98,86.1,12.1,0.38,13.6,Census_India
Cuddalore,625100,34.0,78.04,68.5,19.8,0.72,24.91,Census_India
Dharmapuri,376800,17.3,68.5,63.2,11.4,0.68,25.58,Census_India
Dindigul,542100,37.4,76.26,72.0,13.8,0.51,21.47,Census_India
Erode,612500,51.4,72.58,78.4,10.9,0.42,18.48,Census_India
Kallakurichi,345000,15.2,70.1,62.8,14.0,0.69,26.46,Census_India
Kanchipuram,298000,63.5,84.49,82.0,16.2,0.46,16.78,Census_India
Kanyakumari,470500,82.3,91.75,88.9,8.5,0.58,9.49,Census_India
Karur,278900,40.8,75.6,73.1,12.0,0.49,20.44,Census_India
Krishnagiri,451200,22.8,71.46,67.8,10.5,0.61,22.79,Census_India
Madurai,765430,60.8,81.5,79.4,18.2,0.48,19.22,Census_India
Mayiladuthurai,234100,21.0,83.1,64.5,17.5,0.74,24.58,Census_India
Nagapattinam,185000,22.6,83.59,62.1,21.4,0.81,27.0,Census_India
Namakkal,462000,40.3,74.63,76.5,9.8,0.43,18.39,Census_India
Nilgiris,198400,59.2,85.2,71.0,11.0,0.69,18.96,Census_India
Perambalur,142300,17.2,74.32,65.4,8.4,0.59,22.34,Census_India
Pudukkottai,398000,19.5,77.19,67.2,12.8,0.63,22.8,Census_India
Ramanathapuram,341000,30.2,80.72,66.8,15.6,0.76,23.38,Census_India
Ranipet,298400,48.2,79.1,75.2,14.1,0.48,19.74,Census_India
Salem,910250,51.6,72.86,74.2,16.0,0.52,22.15,Census_India
Sivaganga,338900,30.8,79.85,71.5,11.2,0.55,19.91,Census_India
Tenkasi,361000,43.1,81.2,74.8,13.5,0.53,19.24,Census_India
Thanjavur,605000,35.4,82.64,71.4,17.2,0.64,21.79,Census_India
Theni,338000,53.8,77.26,75.0,14.8,0.5,20.47,Census_India
Tiruchirappalli,684200,49.2,83.24,77.8,14.5,0.45,18.03,Census_India
Tirunelveli,435000,49.9,82.5,75.6,15.3,0.5,19.38,Census_India
Tirupathur,268000,39.5,76.5,70.2,12.6,0.57,21.66,Census_India
Tiruppur,652000,61.4,78.68,81.5,10.2,0.39,15.74,Census_India
Tiruvallur,935000,65.1,84.03,83.0,22.1,0.56,18.83,Census_India
Tiruvannamalai,612000,20.1,74.21,66.0,11.8,0.62,23.48,Census_India
Tiruvarur,321000,20.4,82.86,63.8,18.9,0.73,25.47,Census_India
Tuticorin,448000,50.1,86.16,78.2,13.0,0.52,16.69,Census_India
Vellore,395000,43.2,79.17,76.4,16.5,0.51,20.21,Census_India
Villupuram,512000,15.0,71.88,64.0,15.1,0.67,26.06,Census_India
Virudhunagar,485000,50.5,80.15,77.0,12.4,0.47,18.13,Census_India
