date,precipitation_mm,rain_mm,precipitation_hours,max_wind_speed_kmh,location_name,latitude,longitude,state,rolling_3d_precip_mm,rolling_7d_precip_mm,heavy_rainfall_flag,extreme_rainfall_flag
2024-07-18,1.1,1.1,2.0,23.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,1.1,1.1,0,0
2024-07-18,1.1,1.1,3.0,24.4,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,2.2,2.2,0,0
2024-07-18,7.0,7.0,16.0,16.2,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,9.2,9.2,0,0
2024-07-18,5.5,5.5,18.0,16.6,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,13.6,14.7,0,0
2024-07-18,0.5,0.5,3.0,16.5,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,13.0,15.2,0,0
2024-07-18,3.2,3.2,10.0,23.4,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,9.2,18.4,0,0
2024-07-18,27.6,27.6,24.0,25.5,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,31.3,46.0,0,0
2024-07-18,2.3,2.3,13.0,29.3,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,33.1,47.2,0,0
2024-07-18,1.1,1.1,8.0,29.6,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,31.0,47.2,0,0
2024-07-18,9.1,9.1,23.0,25.9,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,12.5,49.3,0,0
2024-07-19,0.0,0.0,0.0,29.5,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,10.2,43.8,0,0
2024-07-19,12.2,12.2,20.0,24.0,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,21.3,55.5,0,0
2024-07-19,1.0,1.0,8.0,24.5,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,13.2,53.3,0,0
2024-07-19,0.5,0.5,3.0,22.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,13.7,26.2,0,0
2024-07-19,0.0,0.0,0.0,18.7,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,1.5,23.9,0,0
2024-07-19,3.7,3.7,14.0,25.3,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,4.2,26.5,0,0
2024-07-19,3.4,3.4,14.0,21.2,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,7.1,20.8,0,0
2024-07-19,0.0,0.0,0.0,32.5,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,7.1,20.8,0,0
2024-07-19,9.2,9.2,23.0,23.4,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,12.6,17.8,0,0
2024-07-19,6.3,6.3,19.0,7.8,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,15.5,23.1,0,0
2024-07-20,2.7,2.7,18.0,21.4,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,18.2,25.3,0,0
2024-07-20,0.2,0.2,1.0,30.5,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,9.2,25.5,0,0
2024-07-20,0.0,0.0,0.0,14.3,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,2.9,21.8,0,0
2024-07-20,0.1,0.1,1.0,25.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,0.3,18.5,0,0
2024-07-20,4.6,4.6,20.0,25.8,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,4.7,23.1,0,0
2024-07-20,0.0,0.0,0.0,23.5,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,4.7,13.9,0,0
2024-07-20,2.3,2.3,10.0,26.0,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,6.9,9.9,0,0
2024-07-20,0.0,0.0,0.0,31.7,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,2.3,7.2,0,0
2024-07-20,0.3,0.3,3.0,25.5,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,2.6,7.3,0,0
2024-07-20,0.0,0.0,0.0,21.1,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,0.3,7.3,0,0
2024-07-21,0.0,0.0,0.0,23.9,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,0.3,7.2,0,0
2024-07-21,1.7,1.7,13.0,23.8,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,1.7,4.3,0,0
2024-07-21,2.6,2.6,2.0,21.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,4.3,6.9,0,0
2024-07-21,0.0,0.0,0.0,31.0,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,4.3,4.6,0,0
2024-07-21,0.0,0.0,0.0,23.4,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,2.6,4.6,0,0
2024-07-21,0.6,0.6,3.0,17.0,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,0.6,4.9,0,0
2024-07-21,0.4,0.4,4.0,28.8,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,1.0,5.3,0,0
2024-07-21,0.0,0.0,0.0,24.1,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,1.0,5.3,0,0
2024-07-21,0.6,0.6,6.0,29.2,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,1.0,4.2,0,0
2024-07-21,2.6,2.6,14.0,29.8,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,3.2,4.2,0,0
2024-07-22,1.3,1.3,5.0,13.7,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,4.5,5.5,0,0
2024-07-22,0.0,0.0,0.0,24.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,3.9,5.5,0,0
2024-07-22,0.0,0.0,0.0,24.8,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,1.3,4.9,0,0
2024-07-22,0.0,0.0,0.0,17.9,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,0.0,4.5,0,0
2024-07-22,0.0,0.0,0.0,27.4,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,0.0,4.5,0,0
2024-07-22,0.0,0.0,0.0,20.4,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,0.0,3.9,0,0
2024-07-22,0.0,0.0,0.0,22.1,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,0.0,1.3,0,0
2024-07-22,0.2,0.2,2.0,30.8,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,0.2,0.2,0,0
2024-07-22,14.8,14.8,14.0,26.5,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,15.0,15.0,0,0
2024-07-22,0.0,0.0,0.0,28.1,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,15.0,15.0,0,0
2024-07-23,0.0,0.0,0.0,15.6,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,14.8,15.0,0,0
2024-07-23,1.4,1.4,8.0,18.6,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,1.4,16.4,0,0
2024-07-23,0.1,0.1,1.0,26.9,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,1.5,16.5,0,0
2024-07-23,6.5,6.5,14.0,21.6,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,8.0,23.0,0,0
2024-07-23,0.1,0.1,1.0,27.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,6.7,22.9,0,0
2024-07-23,0.4,0.4,3.0,23.8,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,7.0,8.5,0,0
2024-07-23,0.2,0.2,2.0,17.3,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,0.7,8.7,0,0
2024-07-23,0.0,0.0,0.0,25.7,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,0.6,8.7,0,0
2024-07-23,0.2,0.2,2.0,24.7,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,0.4,7.5,0,0
2024-07-23,1.6,1.6,9.0,23.6,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,1.8,9.0,0,0
2024-07-24,0.3,0.3,2.0,22.0,Tiruchirappalli (Kaveri Basin),10.7905,78.7047,Tamil Nadu,2.1,2.8,0,0
2024-07-24,0.1,0.1,1.0,28.8,Vellore (Palar Basin),12.9165,79.1325,Tamil Nadu,2.0,2.8,0,0
2024-07-24,0.9,0.9,5.0,20.0,Salem (Northern Inland),11.6643,78.146,Tamil Nadu,1.3,3.3,0,0
2024-07-24,0.7,0.7,1.0,14.3,Madurai (Southern Plains),9.9252,78.1198,Tamil Nadu,1.7,3.8,0,0
2024-07-24,0.0,0.0,0.0,28.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu,1.6,3.8,0,0
2024-07-24,1.6,1.6,10.0,24.1,Kanyakumari (Southern Coast),8.1833,77.4119,Tamil Nadu,2.3,5.2,0,0
2024-07-24,0.2,0.2,2.0,23.4,Nagapattinam (Delta Coast),10.7656,79.8424,Tamil Nadu,1.8,3.8,0,0
2024-07-24,2.5,2.5,10.0,23.9,Nilgiris (Hill Station Zone),11.4102,76.695,Tamil Nadu,4.3,6.0,0,0
2024-07-24,0.1,0.1,1.0,19.2,Cuddalore (Coastal Central),11.748,79.7714,Tamil Nadu,2.8,6.0,0,0
2024-07-24,0.1,0.1,1.0,23.8,Coimbatore (Western Inland),11.0168,76.9558,Tamil Nadu,2.7,5.2,0,0
