osm_id,name,facility_type,latitude,longitude,state,source
247177690,Thudiyalur Police Station,police,11.0820675,76.9412411,Tamil Nadu,OpenStreetMap
247177822,SREC Health Center,hospital,11.1005451,76.9637445,Tamil Nadu,OpenStreetMap
248420920,Kalaignar Karunanidhi Nagar,hospital,13.0386493,80.2052158,Tamil Nadu,OpenStreetMap
248560797,Kasimedu,hospital,13.122775,80.2960584,Tamil Nadu,OpenStreetMap
250363729,Mambalam Police Station,police,13.0349573,80.22946,Tamil Nadu,OpenStreetMap
258978416,Amrit Hospital,hospital,13.0922007,80.2792912,Tamil Nadu,OpenStreetMap
258978417,Vikram Hospital,hospital,13.0985007,80.2796178,Tamil Nadu,OpenStreetMap
259773441,Royapettah PS,police,13.0520106,80.2637348,Tamil Nadu,OpenStreetMap
262452334,City Tower Hospitals,hospital,13.08438,80.2160862,Tamil Nadu,OpenStreetMap
264480826,Facility_264480826,fire_station,13.0637765,80.2356816,Tamil Nadu,OpenStreetMap
264481213,Facility_264481213,police,13.0596173,80.2427681,Tamil Nadu,OpenStreetMap
266740082,Swamy Hospital,hospital,12.8550625,77.6642727,Tamil Nadu,OpenStreetMap
267214379,Clinic,hospital,12.9134182,77.6774852,Tamil Nadu,OpenStreetMap
281903680,Government Hospital,hospital,11.4085627,76.7002627,Tamil Nadu,OpenStreetMap
282875097,Sri Ramakrishna Dental Hospital,hospital,11.0212988,76.9883526,Tamil Nadu,OpenStreetMap
283629438,Smyrna Home,shelter,11.3948147,76.6961858,Tamil Nadu,OpenStreetMap
283650908,Hebbagodi Police Station,police,12.8263652,77.6820851,Tamil Nadu,OpenStreetMap
289486820,"Apollo Hospitals, Tondiarpet",hospital,13.1289367,80.2905623,Tamil Nadu,OpenStreetMap
295544111,K.H.M. Hospital,hospital,13.0844992,80.2130591,Tamil Nadu,OpenStreetMap
295552091,Sundaram Medical Foundation,hospital,13.08217,80.2069819,Tamil Nadu,OpenStreetMap
295552092,Sri Devi Speciality Hospial,hospital,13.0887983,80.1994692,Tamil Nadu,OpenStreetMap
295766640,DCP Bangalore North Traffic Police,police,13.0181973,77.5581675,Tamil Nadu,OpenStreetMap
300468066,S-8 Adambakkam Police Station,police,12.9893957,80.2019683,Tamil Nadu,OpenStreetMap
301949978,Teynampet E3 PS,police,13.048651,80.2494881,Tamil Nadu,OpenStreetMap
302899362,Teynampet FS,fire_station,13.0474469,80.249119,Tamil Nadu,OpenStreetMap
303590777,Corporation Hospital,hospital,13.0336624,80.2572467,Tamil Nadu,OpenStreetMap
303924572,Shanti Hospital,hospital,12.9235041,77.5857517,Tamil Nadu,OpenStreetMap
303925790,Jayanagar 4th Block Police Station,police,12.9285653,77.5813657,Tamil Nadu,OpenStreetMap
307401529,Apollo Hospital,hospital,12.9263714,77.6765455,Tamil Nadu,OpenStreetMap
307511109,Aravind Ayurvedic Hospital,hospital,9.363999,76.5925769,Tamil Nadu,OpenStreetMap
308446629,Police Station,police,10.6571159,77.0083512,Tamil Nadu,OpenStreetMap
308449858,Facility_308449858,police,10.6565729,77.0184714,Tamil Nadu,OpenStreetMap
308811614,"Hindu Mission Health Services, Kanchipuram",hospital,12.9787682,80.1846471,Tamil Nadu,OpenStreetMap
