district,lat,lon,area_sq_km,population_2020,density_per_sq_km,normalized_density_index,source
Ariyalur,11.1401,79.0786,1949,754154,387,0.015,WorldPop
Chengalpattu,12.6841,79.9836,2945,2556244,868,0.0337,WorldPop
Chennai,13.0827,80.2707,426,10971108,25753,1.0,WorldPop
Coimbatore,11.0168,76.9558,4723,3458045,732,0.0284,WorldPop
Cuddalore,11.748,79.7714,3703,2605914,704,0.0273,WorldPop
Dharmapuri,12.1211,78.1582,4497,1506843,335,0.013,WorldPop
Dindigul,10.3673,77.9803,6266,2159775,345,0.0134,WorldPop
Erode,11.341,77.7172,5722,2251744,394,0.0153,WorldPop
Kallakurichi,11.7384,78.9639,3520,1370281,389,0.0151,WorldPop
Kanchipuram,12.8342,79.7036,1655,1166401,705,0.0274,WorldPop
Kanyakumari,8.1833,77.4119,1672,1870374,1119,0.0435,WorldPop
Karur,10.9601,78.0766,2896,1064493,368,0.0143,WorldPop
Krishnagiri,12.5186,78.2137,5143,1879809,366,0.0142,WorldPop
Madurai,9.9252,78.1198,3741,3038252,812,0.0315,WorldPop
Mayiladuthurai,11.1018,79.6522,1172,918356,784,0.0304,WorldPop
Nagapattinam,10.7656,79.8424,1544,697094,451,0.0175,WorldPop
Namakkal,11.2189,78.1674,3368,1726601,513,0.0199,WorldPop
Nilgiris,11.4102,76.695,2549,735394,288,0.0112,WorldPop
Perambalur,11.2342,78.8824,1757,565223,322,0.0125,WorldPop
Pudukkottai,10.3797,78.8208,4663,1618345,347,0.0135,WorldPop
Ramanathapuram,9.3639,78.8395,4068,1353445,333,0.0129,WorldPop
Ranipet,12.9272,79.3331,2234,1210277,542,0.021,WorldPop
Salem,11.6643,78.146,5205,3482056,669,0.026,WorldPop
Sivaganga,9.8433,78.4809,4189,1339101,320,0.0124,WorldPop
Tenkasi,8.9594,77.315,2916,1407627,483,0.0188,WorldPop
Thanjavur,10.787,79.1378,3397,2405890,708,0.0275,WorldPop
Theni,10.0104,77.4768,3242,1245899,384,0.0149,WorldPop
Tiruchirappalli,10.7905,78.7047,4404,2722290,618,0.024,WorldPop
Tirunelveli,8.7139,77.7567,3842,1665258,433,0.0168,WorldPop
Tirupathur,12.4926,78.5678,1798,1111812,618,0.024,WorldPop
Tiruppur,11.1085,77.3411,5186,2479052,478,0.0186,WorldPop
Tiruvallur,13.1432,79.9079,3422,3728104,1089,0.0423,WorldPop
Tiruvannamalai,12.2253,79.0747,6188,2464875,398,0.0155,WorldPop
Tiruvarur,10.7708,79.6366,2161,1264245,585,0.0227,WorldPop
Tuticorin,8.7642,78.1348,4707,1750176,372,0.0144,WorldPop
Vellore,12.9165,79.1325,2030,1614242,795,0.0309,WorldPop
Villupuram,11.9401,79.4861,3725,2093003,562,0.0218,WorldPop
Virudhunagar,9.568,77.9624,4241,1942288,458,0.0178,WorldPop
