district_id,district,population,pop_density_per_sq_km,elevation_m,recent_7d_precip_mm,slum_pop_pct,pukka_housing_pct,derived_slope_deg,terrain_risk,low_lying_area_flag,elevation_category,slope_category,population_density,population_exposure_index,urban_pressure_index,hospital_density,police_station_density,fire_station_density,road_density,infrastructure_density,critical_infrastructure_count,emergency_service_density,disaster_frequency,flood_frequency,cyclone_frequency,historical_damage_score,historical_casualty_score,historical_severity_index,rainfall_intensity,rolling_3day_rainfall,rolling_7day_rainfall,rainfall_anomaly,infrastructure_vulnerability_index,disaster_severity_score,infrastructure_resilience_score,emergency_preparedness_score,resource_demand_score,accessibility_index,flood_exposure_score,terrain_vulnerability_score,cascade_risk_score,cascade_risk_level
1,Ariyalur,754154,387,82.0,25.67,9.2,66.5,0.17,0.226,0,Inland Plains (15-100m),Flat (<0.2°),387,0.0183,0.6676,0.0103,0.0,0.0,0.0,0.0205,2,0.0103,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5168,0.0,0.0909,0.0048,0.0182,0.2897,0.0,0.226,12.73,LOW
2,Chengalpattu,2556244,868,45.0,25.67,18.5,84.1,0.23,0.235,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),868,0.2147,4.6356,0.0034,0.0,0.0,0.0,0.0068,1,0.0034,2,2,0,13.9553,9.6793,0.6811,3.67,12.84,25.67,0.0,0.7512,0.8274,0.4369,0.0016,0.203,0.2862,0.0,0.235,33.75,LOW
3,Chennai,10971108,25753,12.0,25.67,28.5,92.4,0.27,0.915,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),25753,1.0,10.1563,1.0798,0.0235,0.0,0.0,2.2066,47,1.0798,7,3,3,15.8034,12.5413,1.0,3.67,12.84,25.67,0.0,0.5,1.0,1.0,0.5,1.0,0.0178,0.4,0.915,75.8,HIGH
4,Coimbatore,3458045,732,431.0,25.67,12.1,86.1,0.33,0.733,0,Hilly/Mountain Zone (>300m),Gentle Slope (0.2-0.8°),732,0.0841,4.994,0.1419,0.0021,0.0,0.0,0.288,68,0.1419,1,0,0,12.3014,8.4201,0.5365,3.67,12.84,25.67,0.0,0.5281,0.7249,0.5278,0.0657,0.181,0.0896,0.0,0.733,35.56,MEDIUM
5,Cuddalore,2605914,704,7.0,25.67,19.8,68.5,0.28,0.94,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),704,0.2367,2.2298,0.0054,0.0027,0.0,0.0,0.0162,3,0.0054,3,1,1,15.3945,11.8402,0.8439,3.67,12.84,25.67,0.0,0.7814,0.9591,0.1287,0.0025,0.2164,0.0079,0.4,0.94,60.82,MEDIUM
6,Dharmapuri,1506843,335,461.0,25.67,11.4,63.2,0.37,0.737,0,Hilly/Mountain Zone (>300m),Gentle Slope (0.2-0.8°),335,0.0608,1.0064,0.0156,0.0,0.0,0.0,0.0311,7,0.0156,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5691,0.0,0.0276,0.0072,0.0756,0.088,0.0,0.737,24.8,LOW
7,Dindigul,2159775,345,284.0,25.67,13.8,72.0,0.12,0.218,0,Plateau Zone (100-300m),Flat (<0.2°),345,0.1088,2.1866,0.0192,0.0,0.0,0.0,0.0383,12,0.0192,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6272,0.0,0.2032,0.0089,0.131,0.2929,0.0,0.218,16.49,LOW
8,Erode,2251744,394,177.0,25.67,10.9,78.4,0.04,0.206,0,Plateau Zone (100-300m),Flat (<0.2°),394,0.0522,3.0731,0.0245,0.0,0.0017,0.0,0.0524,15,0.0262,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5518,0.0,0.3325,0.0469,0.1071,0.2976,0.0,0.206,13.7,LOW
9,Kallakurichi,1370281,389,131.0,25.67,14.0,62.8,0.1,0.215,0,Plateau Zone (100-300m),Flat (<0.2°),389,0.1138,0.9069,0.0028,0.0028,0.0,0.0,0.0114,2,0.0028,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6383,0.0,0.0149,0.0013,0.0956,0.2941,0.0,0.215,16.72,LOW
10,Kanchipuram,1166401,705,88.0,25.67,16.2,82.0,0.17,0.226,0,Inland Plains (15-100m),Flat (<0.2°),705,0.165,4.1654,0.0423,0.0,0.0,0.0,0.0846,7,0.0423,3,2,1,15.4249,10.9441,0.8221,3.67,12.84,25.67,0.0,0.6763,0.9243,0.4097,0.0196,0.1114,0.2897,0.0,0.226,32.65,LOW
11,Kanyakumari,1870374,1119,58.0,25.67,8.5,88.9,0.21,0.232,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),1119,0.0216,5.7784,0.0598,0.0478,0.0239,0.0837,0.3947,33,0.0837,1,0,0,13.9978,11.406,0.6451,3.67,12.84,25.67,0.0,0.4143,0.8976,0.5617,0.5277,0.0735,0.9874,0.0,0.232,24.86,LOW
12,Karur,1064493,368,128.0,25.67,12.0,73.1,0.11,0.217,0,Plateau Zone (100-300m),Flat (<0.2°),368,0.0735,2.4116,0.0276,0.0,0.0,0.0,0.0552,8,0.0276,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5786,0.0,0.228,0.0128,0.0607,0.2933,0.0,0.217,14.86,LOW
13,Krishnagiri,1879809,366,489.0,25.67,10.5,67.8,0.41,0.741,0,Hilly/Mountain Zone (>300m),Gentle Slope (0.2-0.8°),366,0.0436,1.3464,0.0117,0.0019,0.0,0.0,0.0272,7,0.0117,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5476,0.0,0.1172,0.0054,0.085,0.0864,0.0,0.741,24.12,LOW
14,Madurai,3038252,812,141.0,25.67,18.2,79.4,0.09,0.214,0,Plateau Zone (100-300m),Flat (<0.2°),812,0.2074,4.074,0.0695,0.0027,0.0,0.0,0.1443,27,0.0695,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.7125,0.0,0.3683,0.0322,0.2225,0.2945,0.0,0.214,20.15,LOW
15,Mayiladuthurai,918356,784,17.0,25.67,17.5,64.5,0.27,0.241,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),784,0.1928,1.3998,0.0171,0.0,0.0,0.0,0.0341,2,0.0171,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.7202,0.0,0.0539,0.0079,0.1134,0.2838,0.0,0.241,20.44,LOW
16,Nagapattinam,697094,451,7.0,25.67,21.4,62.1,0.28,0.94,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),451,0.2625,1.3817,0.0194,0.0,0.0,0.0,0.0389,3,0.0194,3,0,2,14.6353,12.291,0.84,3.67,12.84,25.67,0.0,0.8161,0.9531,0.0072,0.009,0.1376,0.0079,0.4,0.94,61.9,MEDIUM
17,Namakkal,1726601,513,200.0,25.67,9.8,76.5,0.0,0.2,0,Plateau Zone (100-300m),Flat (<0.2°),513,0.0332,2.5156,0.0356,0.0,0.0,0.0,0.0713,12,0.0356,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5202,0.0,0.2983,0.0165,0.0724,0.3,0.0,0.2,12.63,LOW
18,Nilgiris,735394,288,2235.0,25.67,11.0,71.0,2.91,0.95,0,Hilly/Mountain Zone (>300m),Steep Slope (>2.0°),288,0.0517,3.3545,0.0118,0.0,0.0,0.0,0.0235,3,0.0118,2,0,0,12.38,8.7498,0.6263,3.67,12.84,25.67,0.0,0.5609,0.7405,0.1806,0.0055,0.034,0.0039,0.0,0.95,39.81,MEDIUM
19,Perambalur,565223,322,123.0,25.67,8.4,65.4,0.12,0.218,0,Plateau Zone (100-300m),Flat (<0.2°),322,0.0008,0.9938,0.0228,0.0,0.0,0.0,0.0455,4,0.0228,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.4912,0.0,0.0738,0.0106,0.0004,0.2929,0.0,0.218,11.75,LOW
20,Pudukkottai,1618345,347,100.0,25.67,12.8,67.2,0.15,0.223,0,Inland Plains (15-100m),Flat (<0.2°),347,0.089,1.1412,0.0086,0.0,0.0,0.0,0.0172,4,0.0086,1,0,1,13.5541,8.7519,0.5699,3.67,12.84,25.67,0.0,0.6071,0.7778,0.1042,0.004,0.0951,0.2909,0.0,0.223,27.46,LOW
21,Ramanathapuram,1353445,333,11.0,25.67,15.6,66.8,0.28,0.92,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),333,0.1443,1.755,0.0074,0.0049,0.0,0.0,0.0246,5,0.0074,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6751,0.0,0.0958,0.0034,0.11,0.0158,0.4,0.92,42.13,MEDIUM
22,Ranipet,1210277,542,171.0,25.67,14.1,75.2,0.05,0.208,0,Plateau Zone (100-300m),Flat (<0.2°),542,0.1194,3.0352,0.0,0.0045,0.0,0.0,0.009,1,0.0,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6413,0.0,0.2594,0.0,0.0907,0.2968,0.0,0.208,16.76,LOW
23,Salem,3482056,669,284.0,25.67,16.0,74.2,0.12,0.218,0,Plateau Zone (100-300m),Flat (<0.2°),669,0.1602,3.3578,0.0346,0.0038,0.0,0.0019,0.0807,21,0.0346,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6723,0.0,0.2524,0.016,0.2203,0.3088,0.0,0.218,18.45,LOW
24,Sivaganga,1339101,320,99.0,25.67,11.2,71.5,0.15,0.223,0,Inland Plains (15-100m),Flat (<0.2°),320,0.0565,1.7776,0.0072,0.0,0.0,0.0024,0.0191,4,0.0072,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5669,0.0,0.1888,0.0033,0.0654,0.311,0.0,0.223,14.38,LOW
25,Tenkasi,1407627,483,170.0,25.67,13.5,74.8,0.05,0.208,0,Plateau Zone (100-300m),Flat (<0.2°),483,0.1061,2.6645,0.0034,0.0,0.0,0.0,0.0069,1,0.0034,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6268,0.0,0.2527,0.0016,0.0935,0.2968,0.0,0.208,16.21,LOW
26,Thanjavur,2405890,708,59.0,25.67,17.2,71.4,0.21,0.232,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),708,0.185,2.3236,0.0206,0.0,0.0,0.0,0.0412,7,0.0206,1,0,1,13.5541,8.7519,0.5699,3.67,12.84,25.67,0.0,0.7111,0.7778,0.1918,0.0095,0.1809,0.2874,0.0,0.232,31.6,LOW
27,Theni,1245899,384,298.0,25.67,14.8,75.0,0.14,0.221,0,Plateau Zone (100-300m),Flat (<0.2°),384,0.1296,3.2028,0.0216,0.0,0.0,0.0,0.0432,7,0.0216,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6509,0.0,0.2634,0.01,0.0975,0.2917,0.0,0.221,17.42,LOW
28,Tiruchirappalli,2722290,618,80.0,25.67,14.5,77.8,0.18,0.227,0,Inland Plains (15-100m),Flat (<0.2°),618,0.1292,3.1626,0.0068,0.0,0.0,0.0,0.0136,3,0.0068,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.6502,0.0,0.3134,0.0031,0.1682,0.2893,0.0,0.227,17.52,LOW
29,Tirunelveli,1665258,433,50.0,25.67,15.3,75.6,0.22,0.233,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),433,0.1407,3.0304,0.026,0.0,0.0,0.0,0.0521,10,0.026,1,1,0,13.3847,9.0793,0.5747,3.67,12.84,25.67,0.0,0.6613,0.7855,0.277,0.012,0.1232,0.287,0.0,0.233,29.88,LOW
30,Tirupathur,1111812,618,392.0,25.67,12.6,70.2,0.27,0.727,0,Hilly/Mountain Zone (>300m),Gentle Slope (0.2-0.8°),618,0.0914,2.5391,0.0556,0.0445,0.0222,0.0779,0.3671,33,0.0779,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5226,0.0,0.1893,0.4902,0.072,0.7435,0.0,0.727,24.66,LOW
31,Tiruppur,2479052,478,304.0,25.67,10.2,81.5,0.14,0.714,0,Hilly/Mountain Zone (>300m),Flat (<0.2°),478,0.0403,3.7894,0.0463,0.0058,0.0,0.0,0.1041,27,0.0463,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5227,0.0,0.4013,0.0214,0.1121,0.0971,0.0,0.714,23.13,LOW
32,Tiruvallur,3728104,1089,47.0,25.67,22.1,83.0,0.22,0.233,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),1089,0.2915,4.5531,0.0263,0.0,0.0,0.0,0.0526,9,0.0263,3,2,1,15.4545,10.9713,0.8234,3.67,12.84,25.67,0.0,0.8304,0.9264,0.4236,0.0122,0.2977,0.287,0.0,0.233,38.3,MEDIUM
33,Tiruvannamalai,2464875,398,173.0,25.67,11.8,66.0,0.04,0.206,0,Plateau Zone (100-300m),Flat (<0.2°),398,0.0703,1.2038,0.0081,0.0,0.0,0.0,0.0162,5,0.0081,0,0,0,0.0,0.0,0.0,3.67,12.84,25.67,0.0,0.5824,0.0,0.0802,0.0038,0.1264,0.2976,0.0,0.206,14.61,LOW
34,Tiruvarur,1264245,585,14.0,25.67,18.9,63.8,0.27,0.905,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),585,0.216,1.3002,0.0046,0.0,0.0,0.0,0.0093,1,0.0046,1,0,1,13.5541,8.7519,0.5699,3.67,12.84,25.67,0.0,0.7606,0.7778,0.0354,0.0021,0.1416,0.0217,0.4,0.905,56.58,MEDIUM
35,Tuticorin,1750176,372,3.0,25.67,13.0,78.2,0.29,0.96,1,Low Coastal (<15m),Gentle Slope (0.2-0.8°),372,0.0935,2.9667,0.0085,0.0,0.0,0.0,0.017,4,0.0085,1,1,0,13.3847,9.0793,0.5747,3.67,12.84,25.67,0.0,0.6121,0.7855,0.322,0.0039,0.1037,0.0,0.4,0.96,52.5,MEDIUM
36,Vellore,1614242,795,218.0,25.67,16.5,76.4,0.02,0.203,0,Plateau Zone (100-300m),Flat (<0.2°),795,0.1731,2.8856,0.064,0.0,0.0049,0.0,0.1379,14,0.069,1,1,0,13.1224,8.8835,0.5645,3.67,12.84,25.67,0.0,0.6717,0.7693,0.3087,0.1321,0.137,0.2988,0.0,0.203,30.0,LOW
37,Villupuram,2093003,562,48.0,25.67,15.1,64.0,0.22,0.233,0,Inland Plains (15-100m),Gentle Slope (0.2-0.8°),562,0.1398,0.95,0.0107,0.0,0.0,0.0,0.0215,4,0.0107,1,0,1,11.9184,7.9521,0.5172,3.67,12.84,25.67,0.0,0.6633,0.6941,0.0416,0.005,0.1433,0.287,0.0,0.233,28.52,LOW
