district_id,district,population,pop_density_per_sq_km,elevation_m,recent_7d_precip_mm,heavy_rain_event_count,slum_pop_pct,pukka_housing_pct,vulnerability_score,composite_vulnerability_index,historical_disaster_deaths,historical_affected,cascade_risk_score,secondary_disaster_triggered
1,Ariyalur,754154,387,82.0,25.67,18,9.2,66.5,0.58,22.81,0,10000,0.3617,0
2,Chengalpattu,2556244,868,45.0,25.67,18,18.5,84.1,0.44,16.84,73,1525245,0.4069,0
3,Chennai,10971108,25753,12.0,25.67,18,28.5,92.4,0.65,16.4,18620,9343718,0.6938,1
4,Coimbatore,3458045,732,431.0,25.67,18,12.1,86.1,0.38,13.6,420,33620,0.203,0
5,Cuddalore,2605914,704,7.0,25.67,18,19.8,68.5,0.72,24.91,8523,5348363,0.6138,1
6,Dharmapuri,1506843,335,461.0,25.67,18,11.4,63.2,0.68,25.58,0,10000,0.3396,0
7,Dindigul,2159775,345,284.0,25.67,18,13.8,72.0,0.51,21.47,0,10000,0.2917,0
8,Erode,2251744,394,177.0,25.67,18,10.9,78.4,0.42,18.48,0,10000,0.2573,0
9,Kallakurichi,1370281,389,131.0,25.67,18,14.0,62.8,0.69,26.46,0,10000,0.3503,0
10,Kanchipuram,1166401,705,88.0,25.67,18,16.2,82.0,0.46,16.78,565,5096635,0.2759,0
11,Kanyakumari,1870374,1119,58.0,25.67,18,8.5,88.9,0.58,9.49,8009,976913,0.2842,0
12,Karur,1064493,368,128.0,25.67,18,12.0,73.1,0.49,20.44,0,10000,0.2799,0
13,Krishnagiri,1879809,366,489.0,25.67,18,10.5,67.8,0.61,22.79,0,10000,0.3073,0
14,Madurai,3038252,812,141.0,25.67,18,18.2,79.4,0.48,19.22,0,10000,0.2692,0
15,Mayiladuthurai,918356,784,17.0,25.67,18,17.5,64.5,0.74,24.58,0,10000,0.5805,1
16,Nagapattinam,697094,451,7.0,25.67,18,21.4,62.1,0.81,27.0,18061,3712113,0.6361,1
17,Namakkal,1726601,513,200.0,25.67,18,9.8,76.5,0.43,18.39,0,10000,0.2572,0
18,Nilgiris,735394,288,2235.0,25.67,18,11.0,71.0,0.69,18.96,540,90870,0.262,0
19,Perambalur,565223,322,123.0,25.67,18,8.4,65.4,0.59,22.34,0,10000,0.3017,0
20,Pudukkottai,1618345,347,100.0,25.67,18,12.8,67.2,0.63,22.8,52,580200,0.3073,0
21,Ramanathapuram,1353445,333,11.0,25.67,18,15.6,66.8,0.76,23.38,0,10000,0.5809,1
22,Ranipet,1210277,542,171.0,25.67,18,14.1,75.2,0.48,19.74,0,10000,0.2731,0
23,Salem,3482056,669,284.0,25.67,18,16.0,74.2,0.52,22.15,0,10000,0.3023,0
24,Sivaganga,1339101,320,99.0,25.67,18,11.2,71.5,0.55,19.91,0,10000,0.2763,0
25,Tenkasi,1407627,483,170.0,25.67,18,13.5,74.8,0.53,19.24,0,10000,0.2668,0
26,Thanjavur,2405890,708,59.0,25.67,18,17.2,71.4,0.64,21.79,52,580200,0.4214,0
27,Theni,1245899,384,298.0,25.67,18,14.8,75.0,0.5,20.47,0,10000,0.2804,0
28,Tiruchirappalli,2722290,618,80.0,25.67,18,14.5,77.8,0.45,18.03,0,10000,0.3138,0
29,Tirunelveli,1665258,433,50.0,25.67,18,15.3,75.6,0.5,19.38,32,845120,0.4181,0
30,Tirupathur,1111812,618,392.0,25.67,18,12.6,70.2,0.57,21.66,0,10000,0.2961,0
31,Tiruppur,2479052,478,304.0,25.67,18,10.2,81.5,0.39,15.74,0,10000,0.226,0
32,Tiruvallur,3728104,1089,47.0,25.67,18,22.1,83.0,0.56,18.83,556,5261630,0.4259,0
33,Tiruvannamalai,2464875,398,173.0,25.67,18,11.8,66.0,0.62,23.48,0,10000,0.3156,0
34,Tiruvarur,1264245,585,14.0,25.67,18,18.9,63.8,0.73,25.47,52,580200,0.5983,1
35,Tuticorin,1750176,372,3.0,25.67,18,13.0,78.2,0.52,16.69,32,845120,0.5272,1
36,Vellore,1614242,795,218.0,25.67,18,16.5,76.4,0.51,20.21,41,680125,0.2806,0
37,Villupuram,2093003,562,48.0,25.67,18,15.1,64.0,0.67,26.06,14,270050,0.503,1
38,Virudhunagar,1942288,458,95.0,25.67,18,12.4,77.0,0.47,18.13,0,10000,0.2687,0
