district,total_households,urban_pct,literacy_rate,pukka_housing_pct,slum_pop_pct,vulnerability_score
Ariyalur,195400,11.2,71.34,66.5,9.2,0.58
Chengalpattu,642000,68.5,84.6,84.1,18.5,0.44
Chennai,1154982,100.0,90.18,92.4,28.5,0.65
Coimbatore,958045,75.7,83.98,86.1,12.1,0.38
Cuddalore,625100,34.0,78.04,68.5,19.8,0.72
Dharmapuri,376800,17.3,68.5,63.2,11.4,0.68
Dindigul,542100,37.4,76.26,72.0,13.8,0.51
Erode,612500,51.4,72.58,78.4,10.9,0.42
Kallakurichi,345000,15.2,70.1,62.8,14.0,0.69
Kanchipuram,298000,63.5,84.49,82.0,16.2,0.46
Kanyakumari,470500,82.3,91.75,88.9,8.5,0.58
Karur,278900,40.8,75.6,73.1,12.0,0.49
Krishnagiri,451200,22.8,71.46,67.8,10.5,0.61
Madurai,765430,60.8,81.5,79.4,18.2,0.48
Mayiladuthurai,234100,21.0,83.1,64.5,17.5,0.74
Nagapattinam,185000,22.6,83.59,62.1,21.4,0.81
Namakkal,462000,40.3,74.63,76.5,9.8,0.43
Nilgiris,198400,59.2,85.2,71.0,11.0,0.69
Perambalur,142300,17.2,74.32,65.4,8.4,0.59
Pudukkottai,398000,19.5,77.19,67.2,12.8,0.63
Ramanathapuram,341000,30.2,80.72,66.8,15.6,0.76
Ranipet,298400,48.2,79.1,75.2,14.1,0.48
Salem,910250,51.6,72.86,74.2,16.0,0.52
Sivaganga,338900,30.8,79.85,71.5,11.2,0.55
Tenkasi,361000,43.1,81.2,74.8,13.5,0.53
Thanjavur,605000,35.4,82.64,71.4,17.2,0.64
Theni,338000,53.8,77.26,75.0,14.8,0.5
Tiruchirappalli,684200,49.2,83.24,77.8,14.5,0.45
Tirunelveli,435000,49.9,82.5,75.6,15.3,0.5
Tirupathur,268000,39.5,76.5,70.2,12.6,0.57
Tiruppur,652000,61.4,78.68,81.5,10.2,0.39
Tiruvallur,935000,65.1,84.03,83.0,22.1,0.56
Tiruvannamalai,612000,20.1,74.21,66.0,11.8,0.62
Tiruvarur,321000,20.4,82.86,63.8,18.9,0.73
Tuticorin,448000,50.1,86.16,78.2,13.0,0.52
Vellore,395000,43.2,79.17,76.4,16.5,0.51
Villupuram,512000,15.0,71.88,64.0,15.1,0.67
Virudhunagar,485000,50.5,80.15,77.0,12.4,0.47
