district,latitude,longitude,elevation_m
Ariyalur,11.1401,79.0786,82.0
Chengalpattu,12.6841,79.9836,45.0
Chennai,13.0827,80.2707,12.0
Coimbatore,11.0168,76.9558,431.0
Cuddalore,11.748,79.7714,7.0
Dharmapuri,12.1211,78.1582,461.0
Dindigul,10.3673,77.9803,284.0
Erode,11.341,77.7172,177.0
Kallakurichi,11.7384,78.9639,131.0
Kanchipuram,12.8342,79.7036,88.0
Kanyakumari,8.1833,77.4119,58.0
Karur,10.9601,78.0766,128.0
Krishnagiri,12.5186,78.2137,489.0
Madurai,9.9252,78.1198,141.0
Mayiladuthurai,11.1018,79.6522,17.0
Nagapattinam,10.7656,79.8424,7.0
Namakkal,11.2189,78.1674,200.0
Nilgiris,11.4102,76.695,2235.0
Perambalur,11.2342,78.8824,123.0
Pudukkottai,10.3797,78.8208,100.0
Ramanathapuram,9.3639,78.8395,11.0
Ranipet,12.9272,79.3331,171.0
Salem,11.6643,78.146,284.0
Sivaganga,9.8433,78.4809,99.0
Tenkasi,8.9594,77.315,170.0
Thanjavur,10.787,79.1378,59.0
Theni,10.0104,77.4768,298.0
Tiruchirappalli,10.7905,78.7047,80.0
Tirunelveli,8.7139,77.7567,50.0
Tirupathur,12.4926,78.5678,392.0
Tiruppur,11.1085,77.3411,304.0
Tiruvallur,13.1432,79.9079,47.0
Tiruvannamalai,12.2253,79.0747,173.0
Tiruvarur,10.7708,79.6366,14.0
Tuticorin,8.7642,78.1348,3.0
Vellore,12.9165,79.1325,218.0
Villupuram,11.9401,79.4861,48.0
Virudhunagar,9.568,77.9624,95.0
