DisNo,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Country,ISO,Region,Location,Latitude,Longitude,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1977-0112-IND,1977,112,Natural,Meteorological,Storm,Tropical cyclone (Andhra/TN),India,IND,Southern Asia,"Nagapattinam, Tanjore, Chennai, Tamil Nadu",10.7656,79.8424,1977,11,12,1977,11,20,10000,5000,2000000,150000,2155000,250000,10000,300000,32.1
1993-0402-IND,1993,402,Natural,Hydrological,Landslide,Rain-induced landslide,India,IND,Southern Asia,"Coonoor, Ooty, Nilgiris District, Tamil Nadu",11.4102,76.695,1993,11,11,1993,11,16,120,250,45000,12000,57250,15000,1000,18000,55.4
2004-0588-IND,2004,588,Natural,Geophysical,Tsunami,Indian Ocean Tsunami,India,IND,Southern Asia,"Nagapattinam, Cuddalore, Kanyakumari, Chennai, Tamil Nadu",10.7656,79.8424,2004,12,26,2004,12,28,8009,6913,850000,120000,976913,1000000,150000,1200000,68.2
2015-0520-IND,2015,520,Natural,Meteorological,Flood,Coastal & Urban flood,India,IND,Southern Asia,"Chennai, Kanchipuram, Cuddalore, Tiruvallur, Tamil Nadu",13.0827,80.2707,2015,11,8,2015,12,14,500,1400,4000000,100000,4101400,3000000,750000,3500000,85.2
2016-0560-IND,2016,560,Natural,Meteorological,Storm,Cyclone Vardah,India,IND,Southern Asia,"Chennai, Tiruvallur, Kanchipuram, Tamil Nadu",13.1432,79.9079,2016,12,12,2016,12,15,24,110,300000,15000,315110,800000,200000,1000000,86.8
2018-0489-IND,2018,489,Natural,Meteorological,Storm,Tropical cyclone (Gaja),India,IND,Southern Asia,"Nagapattinam, Thanjavur, Pudukkottai, Tiruvarur, Tamil Nadu",10.7656,79.8424,2018,11,10,2018,11,20,52,200,500000,80000,580200,700000,150000,770000,91.0
2020-0512-IND,2020,512,Natural,Meteorological,Storm,Cyclone Nivar,India,IND,Southern Asia,"Puducherry, Cuddalore, Villupuram, Chennai, Tamil Nadu",11.748,79.7714,2020,11,24,2020,11,27,14,50,250000,20000,270050,120000,40000,150000,95.5
2021-0620-IND,2021,620,Natural,Hydrological,Flood,Monsoon Flash Flood,India,IND,Southern Asia,"Chennai, Kanchipuram, Chengalpattu, Vellore, Tamil Nadu",13.0827,80.2707,2021,11,6,2021,11,25,41,85,650000,30000,680125,450000,90000,500000,98.1
2023-0781-IND,2023,781,Natural,Hydrological,Flood,Cyclone Michaung Flash Flood,India,IND,Southern Asia,"Chennai, Tiruvallur, Chengalpattu, Tuticorin, Tirunelveli",13.0827,80.2707,2023,12,3,2023,12,18,32,120,800000,45000,845120,600000,180000,650000,100.0
2024-0310-IND,2024,310,Natural,Hydrological,Landslide,Wayanad-Nilgiris Landslide Cascade,India,IND,Southern Asia,"Nilgiris, Coimbatore Border, Wayanad Foothills",11.4102,76.695,2024,7,30,2024,8,5,420,600,25000,8000,33620,200000,35000,220000,103.5
