date,precipitation_mm,rain_mm,precipitation_hours,max_wind_speed_kmh,location_name,latitude,longitude,state
2024-07-18,1.1,1.1,2.0,23.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-19,0.5,0.5,3.0,22.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-20,0.1,0.1,1.0,25.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-21,2.6,2.6,2.0,21.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-22,0.0,0.0,0.0,24.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-23,0.1,0.1,1.0,27.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-24,0.0,0.0,0.0,28.9,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-25,1.1,1.1,5.0,30.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-26,4.6,4.6,3.0,27.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-27,0.3,0.3,1.0,30.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-28,0.1,0.1,1.0,26.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-29,5.8,5.8,6.0,22.1,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-30,1.5,1.5,3.0,19.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-07-31,1.5,1.5,2.0,17.3,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-01,2.6,2.6,1.0,23.5,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-02,4.5,4.5,5.0,19.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-03,7.7,7.7,4.0,15.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-04,0.2,0.2,2.0,13.8,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-05,0.8,0.8,3.0,15.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-06,19.1,19.1,8.0,18.4,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-07,8.8,8.8,10.0,13.0,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-08,10.9,10.9,7.0,12.6,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
2024-08-09,20.9,20.9,14.0,19.2,Chennai (Coastal North),13.0827,80.2707,Tamil Nadu
