district,lat,lon,area_sq_km,population_2020,density_per_sq_km
Ariyalur,11.1401,79.0786,1949,754154,387
Chengalpattu,12.6841,79.9836,2945,2556244,868
Chennai,13.0827,80.2707,426,10971108,25753
Coimbatore,11.0168,76.9558,4723,3458045,732
Cuddalore,11.748,79.7714,3703,2605914,704
Dharmapuri,12.1211,78.1582,4497,1506843,335
Dindigul,10.3673,77.9803,6266,2159775,345
Erode,11.341,77.7172,5722,2251744,394
Kallakurichi,11.7384,78.9639,3520,1370281,389
Kanchipuram,12.8342,79.7036,1655,1166401,705
Kanyakumari,8.1833,77.4119,1672,1870374,1119
Karur,10.9601,78.0766,2896,1064493,368
Krishnagiri,12.5186,78.2137,5143,1879809,366
Madurai,9.9252,78.1198,3741,3038252,812
Mayiladuthurai,11.1018,79.6522,1172,918356,784
Nagapattinam,10.7656,79.8424,1544,697094,451
Namakkal,11.2189,78.1674,3368,1726601,513
Nilgiris,11.4102,76.695,2549,735394,288
Perambalur,11.2342,78.8824,1757,565223,322
Pudukkottai,10.3797,78.8208,4663,1618345,347
Ramanathapuram,9.3639,78.8395,4068,1353445,333
Ranipet,12.9272,79.3331,2234,1210277,542
Salem,11.6643,78.146,5205,3482056,669
Sivaganga,9.8433,78.4809,4189,1339101,320
Tenkasi,8.9594,77.315,2916,1407627,483
Thanjavur,10.787,79.1378,3397,2405890,708
Theni,10.0104,77.4768,3242,1245899,384
Tiruchirappalli,10.7905,78.7047,4404,2722290,618
Tirunelveli,8.7139,77.7567,3842,1665258,433
Tirupathur,12.4926,78.5678,1798,1111812,618
Tiruppur,11.1085,77.3411,5186,2479052,478
Tiruvallur,13.1432,79.9079,3422,3728104,1089
Tiruvannamalai,12.2253,79.0747,6188,2464875,398
Tiruvarur,10.7708,79.6366,2161,1264245,585
Tuticorin,8.7642,78.1348,4707,1750176,372
Vellore,12.9165,79.1325,2030,1614242,795
Villupuram,11.9401,79.4861,3725,2093003,562
Virudhunagar,9.568,77.9624,4241,1942288,458
